Symbol,Date,Open,High,Low,Close,Volume
ACPL,27-Mar-2012,71.75,74.90,71.00,73.71,76616
ACPL,28-Mar-2012,74.00,76.50,74.00,75.99,187988
ACPL,29-Mar-2012,75.61,75.61,73.50,74.11,45972
ACPL,30-Mar-2012,75.00,77.18,75.00,76.73,106041
ACPL,02-Apr-2012,77.00,77.40,76.35,77.06,20175
ACPL,03-Apr-2012,76.00,76.80,75.84,76.56,11331
ACPL,04-Apr-2012,76.02,79.45,76.01,78.89,168849
ACPL,05-Apr-2012,79.50,82.83,78.00,80.94,342964
ACPL,06-Apr-2012,81.80,84.50,81.00,83.71,314106
ACPL,09-Apr-2012,84.00,84.44,83.00,83.05,299137
ACPL,10-Apr-2012,82.70,83.80,82.50,82.90,11230
ACPL,11-Apr-2012,83.44,85.00,82.50,83.39,145169
ACPL,12-Apr-2012,83.09,83.09,81.00,81.50,49766
ACPL,13-Apr-2012,83.00,83.95,80.70,82.10,173089
ACPL,16-Apr-2012,81.01,86.20,81.01,85.15,544149
ACPL,17-Apr-2012,85.99,88.00,85.50,85.80,38989
ACPL,18-Apr-2012,86.00,86.90,84.00,86.00,257040
ACPL,19-Apr-2012,86.00,87.40,86.00,86.83,358396
ACPL,20-Apr-2012,87.50,87.54,85.05,85.48,195280
ACPL,23-Apr-2012,85.45,87.50,85.45,87.11,100801
ACPL,24-Apr-2012,87.50,87.90,85.00,85.47,29124
ACPL,25-Apr-2012,86.00,86.70,83.02,83.54,17320
ACPL,26-Apr-2012,83.10,84.00,80.11,81.25,8010
ACPL,27-Apr-2012,83.00,83.00,82.99,83.00,800
ACPL,30-Apr-2012,82.99,82.99,81.01,81.77,1585
ACPL,02-May-2012,82.00,82.95,82.00,82.90,14500
ACPL,03-May-2012,82.00,84.41,82.00,83.91,23423
ACPL,04-May-2012,84.00,84.75,82.50,82.75,38600
ACPL,07-May-2012,80.10,85.00,80.10,82.54,220202
ACPL,08-May-2012,82.54,82.54,80.05,80.36,188913
ACPL,09-May-2012,80.36,82.00,80.36,80.75,16680
ACPL,10-May-2012,80.00,81.49,79.50,80.87,25261
ACPL,11-May-2012,80.01,81.00,79.25,80.07,29556
ACPL,14-May-2012,80.99,80.99,79.65,80.00,106834
ACPL,15-May-2012,81.00,81.20,80.50,80.71,4392
ACPL,16-May-2012,81.90,81.90,77.01,80.23,6283
ACPL,17-May-2012,80.15,80.49,77.00,79.06,594667
ACPL,18-May-2012,79.10,79.80,76.12,77.25,50972
ACPL,21-May-2012,78.90,78.90,78.69,77.25,103
ACPL,22-May-2012,79.25,80.00,78.50,79.80,37403
ACPL,23-May-2012,78.26,79.00,78.25,79.00,12100
ACPL,24-May-2012,79.00,79.00,77.51,78.19,6707
ACPL,25-May-2012,78.05,78.95,78.00,78.03,3712
ACPL,28-May-2012,78.40,80.74,78.40,79.50,39540
ACPL,29-May-2012,80.00,81.50,79.01,79.62,169569
ACPL,30-May-2012,79.62,79.62,78.50,78.67,12742
ACPL,31-May-2012,78.12,80.00,78.12,79.24,18360
ACPL,01-Jun-2012,79.30,81.50,79.30,80.05,54786
ACPL,04-Jun-2012,80.60,81.50,79.90,80.72,2271
ACPL,05-Jun-2012,79.00,80.00,79.00,79.38,5247
ACPL,06-Jun-2012,80.39,80.39,79.00,79.32,32917
ACPL,07-Jun-2012,79.48,80.50,78.10,78.11,10853
ACPL,08-Jun-2012,79.48,79.48,76.00,77.15,2448
ACPL,11-Jun-2012,77.15,77.15,77.00,77.00,2300
ACPL,12-Jun-2012,76.23,76.50,75.40,76.10,10073
ACPL,13-Jun-2012,76.90,77.00,76.00,76.78,8700
ACPL,14-Jun-2012,76.15,79.09,76.15,79.09,40804
ACPL,15-Jun-2012,79.48,80.25,78.58,80.01,82234
ACPL,18-Jun-2012,78.05,80.90,78.05,80.50,3420
ACPL,19-Jun-2012,79.25,80.50,79.25,80.50,2374
ACPL,20-Jun-2012,79.11,80.80,79.11,80.28,7061
ACPL,21-Jun-2012,81.00,81.00,79.00,79.85,5945
ACPL,22-Jun-2012,80.00,81.15,77.00,80.38,65523
ACPL,25-Jun-2012,79.50,80.00,79.00,79.90,2978
ACPL,26-Jun-2012,80.00,80.70,79.00,80.56,1295
ACPL,27-Jun-2012,81.40,81.50,80.00,80.91,25661
ACPL,28-Jun-2012,80.50,81.50,79.00,80.00,87301
ACPL,29-Jun-2012,79.01,83.49,78.10,81.44,19702
ACPL,02-Jul-2012,81.99,82.00,78.15,80.99,73046
ACPL,03-Jul-2012,81.00,82.00,80.40,80.79,1355
ACPL,04-Jul-2012,81.82,81.82,80.50,80.50,503
ACPL,05-Jul-2012,80.01,83.90,80.00,83.16,40289
ACPL,06-Jul-2012,83.00,86.90,83.00,84.63,46070
ACPL,09-Jul-2012,85.48,86.95,85.00,86.82,67398
ACPL,10-Jul-2012,83.20,90.00,83.20,89.26,212547
