Symbol,Date,Open,High,Low,Close,Volume
LUCK,20-Jul-2011,73.35,75.00,72.25,72.60,6368639
LUCK,21-Jul-2011,72.50,74.08,72.15,72.88,1196256
LUCK,22-Jul-2011,73.00,75.50,72.99,74.57,3416340
LUCK,25-Jul-2011,74.89,74.95,73.40,73.55,789684
LUCK,26-Jul-2011,73.95,74.54,73.10,73.31,1363767
LUCK,27-Jul-2011,73.47,73.65,72.62,72.84,1028231
LUCK,28-Jul-2011,72.75,73.55,72.20,72.94,1175658
LUCK,29-Jul-2011,72.90,73.38,72.50,73.12,1547929
LUCK,01-Aug-2011,74.49,74.50,73.27,73.40,1204605
LUCK,02-Aug-2011,73.21,73.49,72.56,72.70,206710
LUCK,03-Aug-2011,72.75,72.75,70.50,70.69,727585
LUCK,04-Aug-2011,70.69,73.25,70.62,72.93,1296235
LUCK,05-Aug-2011,72.40,72.40,69.29,71.09,2470406
LUCK,08-Aug-2011,71.11,73.00,69.31,72.32,1639386
LUCK,09-Aug-2011,71.70,71.98,70.50,70.82,469401
LUCK,10-Aug-2011,72.30,73.50,71.71,71.94,575820
LUCK,11-Aug-2011,71.01,73.25,70.71,72.45,2526802
LUCK,12-Aug-2011,73.05,73.49,72.50,72.87,1505518
LUCK,15-Aug-2011,73.38,73.38,72.05,72.81,184167
LUCK,16-Aug-2011,73.00,73.70,72.02,72.42,577577
LUCK,17-Aug-2011,72.72,72.90,71.90,72.24,227884
LUCK,18-Aug-2011,72.30,72.70,70.81,71.93,3929130
LUCK,19-Aug-2011,71.00,71.39,70.52,71.02,2051902
LUCK,22-Aug-2011,70.50,71.90,70.50,70.97,290668
LUCK,23-Aug-2011,71.00,71.39,70.70,71.00,241184
LUCK,24-Aug-2011,71.48,72.15,70.27,70.75,2632752
LUCK,25-Aug-2011,70.80,71.49,69.71,71.20,745139
LUCK,29-Aug-2011,71.95,72.35,70.02,72.00,840350
LUCK,30-Aug-2011,71.99,72.69,71.61,72.32,483539
LUCK,05-Sep-2011,72.50,73.10,71.40,71.78,695146
LUCK,06-Sep-2011,71.51,73.14,71.16,72.83,756636
LUCK,07-Sep-2011,72.10,74.50,72.10,73.70,2995109
LUCK,08-Sep-2011,73.99,75.60,73.51,75.02,2423040
LUCK,09-Sep-2011,74.98,75.38,73.82,74.30,1085002
LUCK,12-Sep-2011,74.01,74.01,73.35,73.90,283258
LUCK,13-Sep-2011,74.14,74.40,73.50,73.57,108911
LUCK,14-Sep-2011,74.48,74.48,73.66,74.05,563393
LUCK,15-Sep-2011,74.20,74.68,74.06,74.26,528055
LUCK,16-Sep-2011,74.40,74.50,73.50,73.64,387917
LUCK,19-Sep-2011,73.85,74.27,73.30,73.67,1469145
LUCK,20-Sep-2011,70.50,71.85,70.25,71.34,990516
LUCK,21-Sep-2011,71.89,73.59,71.80,73.00,1615144
LUCK,22-Sep-2011,72.90,74.40,72.50,72.91,1818412
LUCK,23-Sep-2011,72.26,73.75,72.25,73.22,980689
LUCK,26-Sep-2011,72.25,72.80,69.70,70.48,1202461
LUCK,27-Sep-2011,71.00,73.00,71.00,72.79,553146
LUCK,28-Sep-2011,72.80,73.20,72.10,72.56,624910
LUCK,29-Sep-2011,72.90,76.13,72.45,74.95,5666761
LUCK,30-Sep-2011,74.25,76.90,74.25,75.52,2814003
LUCK,03-Oct-2011,75.00,75.90,74.32,74.98,531941
LUCK,04-Oct-2011,75.00,75.45,74.01,74.92,2072137
LUCK,05-Oct-2011,75.10,76.70,74.75,75.13,4353079
LUCK,06-Oct-2011,75.80,77.15,75.75,76.02,3203856
LUCK,07-Oct-2011,76.39,76.85,75.75,76.05,1493905
LUCK,10-Oct-2011,79.85,79.85,79.20,79.85,3283603
LUCK,11-Oct-2011,80.50,82.75,78.55,78.92,7064224
LUCK,12-Oct-2011,79.11,80.06,79.00,79.88,2271707
LUCK,13-Oct-2011,80.40,80.99,79.32,79.94,791146
LUCK,14-Oct-2011,80.25,83.45,79.00,82.31,2569757
LUCK,17-Oct-2011,82.95,84.39,82.80,83.58,1772984
LUCK,18-Oct-2011,84.00,84.90,82.81,83.00,1354755
LUCK,19-Oct-2011,83.45,83.60,78.85,80.19,1534561
LUCK,20-Oct-2011,80.00,83.39,78.80,82.30,2012044
LUCK,21-Oct-2011,82.80,82.80,79.10,80.24,1045113
LUCK,25-Oct-2011,81.00,82.70,80.00,80.35,1297195
LUCK,26-Oct-2011,80.60,81.85,79.00,79.75,1143378
LUCK,27-Oct-2011,79.26,80.50,79.26,80.00,402181
LUCK,28-Oct-2011,79.51,82.60,78.70,82.02,4731569
LUCK,31-Oct-2011,82.80,84.90,82.50,82.91,2581227
LUCK,01-Nov-2011,83.00,83.00,81.00,81.09,1021130
LUCK,02-Nov-2011,80.80,81.95,80.50,81.56,519374
LUCK,03-Nov-2011,81.85,82.50,81.00,81.19,516632
LUCK,04-Nov-2011,81.65,83.00,81.37,82.46,926017
LUCK,10-Nov-2011,82.51,83.99,81.51,82.15,1238883
LUCK,14-Nov-2011,83.50,84.00,82.85,83.02,467178
LUCK,15-Nov-2011,82.60,84.00,82.60,83.17,774418
LUCK,16-Nov-2011,83.21,84.25,82.60,82.80,1116475
LUCK,17-Nov-2011,83.20,83.25,82.30,82.46,174602
LUCK,18-Nov-2011,81.60,82.87,81.60,82.45,184775
LUCK,21-Nov-2011,82.25,83.85,82.25,82.66,908913
LUCK,22-Nov-2011,82.60,82.95,82.01,82.17,125622
LUCK,23-Nov-2011,82.11,82.60,82.11,82.20,301268
LUCK,24-Nov-2011,81.31,82.80,81.31,82.08,675724
LUCK,25-Nov-2011,82.35,82.35,80.90,81.20,532432
LUCK,28-Nov-2011,80.15,81.00,79.35,80.52,270503
LUCK,29-Nov-2011,81.50,81.60,80.05,81.23,645984
LUCK,30-Nov-2011,82.00,82.49,81.20,81.60,420793
LUCK,01-Dec-2011,81.90,82.40,81.55,81.97,416002
LUCK,02-Dec-2011,82.24,82.24,79.75,80.06,778511
LUCK,07-Dec-2011,80.00,80.85,76.51,76.99,988963
LUCK,08-Dec-2011,76.15,80.00,76.15,79.42,650255
LUCK,09-Dec-2011,79.50,80.10,78.80,79.35,137732
LUCK,12-Dec-2011,79.90,80.50,78.11,78.53,377932
LUCK,13-Dec-2011,78.36,78.80,77.00,77.39,543322
LUCK,14-Dec-2011,77.30,78.90,77.00,78.13,457237
LUCK,15-Dec-2011,77.51,77.99,74.62,76.84,1145640
LUCK,16-Dec-2011,76.84,78.50,75.55,78.10,864297
LUCK,19-Dec-2011,78.85,79.50,76.21,76.69,382686
LUCK,20-Dec-2011,76.95,78.89,75.05,78.31,728948
LUCK,21-Dec-2011,78.10,79.10,77.80,78.72,457593
LUCK,22-Dec-2011,78.75,79.35,78.25,78.88,269120
LUCK,23-Dec-2011,78.50,78.90,77.90,78.09,180262
LUCK,26-Dec-2011,78.76,78.76,77.52,77.66,2680
LUCK,27-Dec-2011,77.60,77.93,76.52,76.86,36013
LUCK,28-Dec-2011,77.00,77.00,75.50,75.90,188676
LUCK,29-Dec-2011,76.49,76.99,76.05,76.71,57165
LUCK,30-Dec-2011,77.00,77.14,74.80,75.04,607301
LUCK,02-Jan-2012,75.40,75.50,74.30,74.93,197257
LUCK,03-Jan-2012,75.02,78.00,74.62,77.74,909843
LUCK,04-Jan-2012,78.90,79.20,77.70,78.28,726703
LUCK,05-Jan-2012,78.01,78.11,77.51,77.61,88614
LUCK,06-Jan-2012,77.90,78.37,77.11,77.95,69921
LUCK,09-Jan-2012,78.00,78.00,76.60,76.78,40280
LUCK,10-Jan-2012,76.50,76.99,75.25,76.60,404339
LUCK,11-Jan-2012,77.20,77.98,76.24,77.57,335436
LUCK,12-Jan-2012,77.10,77.25,76.52,77.12,40565
LUCK,13-Jan-2012,77.12,79.19,77.12,78.62,750354
LUCK,16-Jan-2012,78.50,79.10,78.10,78.67,462419
LUCK,17-Jan-2012,78.50,78.60,77.84,78.46,527297
LUCK,18-Jan-2012,78.70,82.38,78.33,81.48,1654219
LUCK,19-Jan-2012,82.00,83.15,80.70,81.10,834905
LUCK,20-Jan-2012,81.60,83.90,81.00,81.26,1926260
LUCK,23-Jan-2012,83.75,85.25,82.25,84.65,2022277
LUCK,24-Jan-2012,84.80,87.10,83.81,84.98,2914771
LUCK,25-Jan-2012,84.70,86.39,84.70,85.77,4269481
LUCK,26-Jan-2012,86.00,88.47,85.90,86.48,5184948
LUCK,27-Jan-2012,86.02,87.85,86.01,87.03,1834762
LUCK,30-Jan-2012,87.50,87.95,85.52,86.00,1390264
LUCK,31-Jan-2012,86.00,86.19,84.31,84.80,418345
LUCK,01-Feb-2012,84.99,85.80,84.10,84.53,596289
LUCK,02-Feb-2012,85.00,85.00,83.60,83.95,546914
